name,subname,addr2
신세계,강남점,서울 서초구 신반포로 176
신세계,영등포점,서울 영등포구 영중로 9 
현대,디큐브시티점,서울 구로구 경인로 662
현대,천호점,서울 강동구 천호대로 1005
현대,무역센터점,서울 강남구 테헤란로 517?
현대,압구정본점,서울 강남구 압구정로 165
현대,신촌점,서울 서대문구 신촌로 83
현대,목동점,서울 양천구 목동동로 257
현대,미아점,서울 성북구 동소문로 315
현대,유플렉스 신촌점,서울 서대문구 연세로 13?
현대,유플렉스 목동점,서울 양천구 목동동로 257
현대,유플렉스 무역센터점,서울 강남구 영동대로 513
롯데,잠실점,서울 송파구 올림픽로 240?
롯데,영등포점,서울 영등포구 경인로 846
롯데,본점,서울 중구 남대문로 81
롯데,노원점,서울 노원구 동일로 1414?
롯데,강남점,서울 강남구 도곡로 401
롯데,스타시티점,서울 광진구 능동로 92
롯데,청량리점,서울 동대문구 왕산로 214
롯데,관악점,서울 관악구 봉천로 209?
롯데,에비뉴엘 월드타워점,서울 송파구 올림픽로 300
롯데,영플라자 명동점,서울 중구 남대문로 67
롯데,미아점,서울 강북구 도봉로 62
롯데,에비뉴엘,서울 중구 남대문로 73
롯데,김포공항점,서울 강서구 하늘길 77
